STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
Prathers Market,-105.99315,39.221939,301 US Highway 285,,Fairplay,CO,80440,,PARK 
Morning Fresh Dairy Farm LLC,-105.18399,40.648872,5821 W County Road 54 E,,Bellvue,CO,80512,7109,LARIMER 
Walgreens 04596,-104.75772,38.804783,1920 S Chelton Rd,,Colorado Springs,CO,80910,,EL PASO 
Walgreens 04043,-104.77592,38.846558,920 N Circle Dr,,Colorado Springs,CO,80909,5038,EL PASO 
Walgreens 09212,-104.74051,40.422363,3700 W 10th St,,Greeley,CO,80634,1819,WELD 
Kirk Supers,-102.59211,39.61208,2985 County Road M,,Kirk,CO,80824,9501,YUMA 
Walmart 3313,-104.86202,39.593155,10900 E Briarwood Ave,,Centennial,CO,80112,3820,ARAPAHOE 
Safeway 2722,-105.07329,39.48447,8335 N Rampart Range Rd,,Littleton,CO,80125,,DOUGLAS 
Loaf N Jug 601,-104.72531,38.729446,7055 Alegre Cir,,Fountain,CO,80817,,EL PASO 
Target Stores T- 1976,-104.72368,39.582397,7400 S Gartrell Rd,,Aurora,CO,80016,4236,ARAPAHOE 
Boulder Vitamin Cottage,-105.09121,39.986862,100 W South Boulder Rd,,Lafayette,CO,80026,8835,BOULDER 
Petes Fruits & Vegetables,-104.92192,39.713062,5600 E Cedar Ave,,Denver,CO,80224,1010,DENVER 
JRs Country Store 612,-102.12177,38.053303,118 E Colorado St,,Holly,CO,81047,,PROWERS 
Seubert Super,-102.86974,39.301311,103 Colorado Ave,,Seibert,CO,80834,,KIT CARSON 
Walgreens 04709,-104.74242,38.752369,280 Main St,,Colorado Springs,CO,80911,1712,EL PASO 
Walgreens 06731,-104.74749,38.839306,4305 E Platte Ave,,Colorado Springs,CO,80915,4104,EL PASO 
Walgreens 09564,-105.10961,40.407295,2370 W Eisenhower Blvd,,Loveland,CO,80537,3150,LARIMER 
Walgreens 09569,-104.70168,38.326141,958 Hailey Ln,,Pueblo West,CO,81007,4438,PUEBLO 
Walgreens 09568,-104.62796,38.266068,1520 W 4th St,,Pueblo,CO,81004,1207,PUEBLO 
Kremmling Mercantile,-106.39819,40.059586,101 Martin Way,,Kremmling,CO,80459,,GRAND 
Walgreens 06986,-104.86515,39.711159,10601 E Alameda Ave,,Aurora,CO,80012,6490,ARAPAHOE 
Walgreens 09199,-104.60481,38.939743,7392 McLaughlin Rd,,Peyton,CO,80831,4713,EL PASO 
Walgreens 09567,-104.97281,39.678539,1235 E Evans Ave,,Denver,CO,80210,4531,DENVER 
Walgreens 04721,-104.64477,38.244015,2900 W Northern Ave,,Pueblo,CO,81005,2315,PUEBLO 
Walgreens 07777,-104.84975,38.848072,625 N 19th St,,Colorado Springs,CO,80904,3459,EL PASO 
Papa Murphys Pizza,-105.11768,39.689728,1535 S Kipling Pkwy,Unit G1,Lakewood,CO,80232,6258,JEFFERSON 
Vitamin Cottage Natural Food Market,-104.82895,39.099094,1216 W Baptist Rd,,Monument,CO,80132,9161,EL PASO 
Walgreens 07927,-105.13091,40.190811,1770 Hover St,,Longmont,CO,80501,7174,BOULDER 
Walgreens 09315,-104.94255,40.160618,5962 Firestone Blvd,,Firestone,CO,80504,6606,WELD 
Walgreens 10070,-104.91388,39.678398,6360 E Evans Ave,,Denver,CO,80222,5808,DENVER 
King Soopers 97,-105.0389,40.551579,2602 S Timberline Rd,,Fort Collins,CO,80525,2401,LARIMER 
Walgreens 03500,-104.9035,39.69973,950 S Quebec St,,Denver,CO,80247,2003,ARAPAHOE 
Walgreens 04307,-104.84749,39.696709,12051 E Mississippi Ave,,Aurora,CO,80012,2834,ARAPAHOE 
Walgreens 04610,-104.77565,39.653149,18461 E Hampden Ave,,Aurora,CO,80013,3509,ARAPAHOE 
Walgreens 05261,-104.76872,39.536942,19028 Lincoln Ave,,Parker,CO,80134,9381,DOUGLAS 
Florida Market LLC,-105.0434,39.689518,4393 W Florida Ave,,Denver,CO,80219,3735,DENVER 
Walgreens 03585,-104.86403,38.928928,6820 Centennial Blvd,,Colorado Springs,CO,80919,5114,EL PASO 
Walgreens 03586,-104.75714,38.881802,3480 N Academy Blvd,,Colorado Springs,CO,80917,5086,EL PASO 
Friendly Market,-105.00646,39.771683,1700 W 40th Ave,,Denver,CO,80211,2231,DENVER 
Kum & Go 905,-107.65253,39.546993,905 Main St,,Silt,CO,81652,8726,GARFIELD 
Viet Hoa Supermarket,-105.05333,39.712601,225 S Sheridan Blvd,B,Lakewood,CO,80226,3591,JEFFERSON 
Lowell Mart,-105.03454,39.821232,6855 Lowell Blvd,,Denver,CO,80221,2652,ADAMS 
King Soopers 132,-104.82829,39.374981,750 N Ridge Rd,,Castle Rock,CO,80104,8950,DOUGLAS 
Whole Foods Market,-104.90162,39.653095,7400 E Hampden Ave,Unit D-1,Denver,CO,80231,4887,DENVER 
Walgreens 03914,-104.72153,38.871906,5755 Constitution Ave,,Colorado Springs,CO,80915,1220,EL PASO 
Walgreens 07022,-104.70142,38.717701,7910 Fountain Mesa Rd,,Fountain,CO,80817,1532,EL PASO 
Target Stores T- 0256,-104.79083,39.638382,16910 E Quincy Ave,,Aurora,CO,80015,2745,ARAPAHOE 
Target Stores T- 1413,-104.86591,39.69117,1400 S Havana St,,Aurora,CO,80012,4014,ARAPAHOE 
Target Stores T- 0739,-104.79981,38.793251,1630 E Cheyenne Mountain Blvd,,Colorado Springs,CO,80906,4050,EL PASO 
Target Stores T- 1178,-105.00238,40.409519,1725 Rocky Mountain Ave,,Loveland,CO,80538,8851,LARIMER 
Thomas Produce,-104.44858,38.245171,37143 E US Highway 50,,Pueblo,CO,81006,9468,PUEBLO 
Carniceria Latina LLC,-104.80977,39.675362,2272 S Chambers Rd,,Aurora,CO,80014,4528,ARAPAHOE 
YZ Syracuse Market,-104.89883,39.733753,1131 Syracuse St,,Denver,CO,80220,3222,DENVER 
7-Eleven Store 22537A,-104.97986,39.743111,1690 Pearl St,,Denver,CO,80203,1420,DENVER 
DiTomaso Farms,-104.53666,38.248798,26358 Gale Rd,,Pueblo,CO,81006,9794,PUEBLO 
Haat Bazar,-104.86272,39.668144,2648 S Parker Rd,# 6B,Aurora,CO,80014,1685,ARAPAHOE 
Target Stores T- 2021,-105.10949,39.791901,5171 Kipling St,,Wheat Ridge,CO,80033,2303,JEFFERSON 
Target Stores T- 2023,-104.88216,39.535873,10001 Commons St,,Lone Tree,CO,80124,5547,DOUGLAS 
Target Stores T- 2052,-104.89433,39.785484,7930 Northfield Blvd,,Denver,CO,80238,3527,DENVER 
Walmart SC 5334,-104.77237,39.763702,3301 Tower Rd,,Aurora,CO,80011,3509,ARAPAHOE 
King Soopers 87,-105.29139,39.543106,25637 Conifer Rd,,Conifer,CO,80433,,JEFFERSON 
Loaf N Jug 14,-104.66311,38.245586,1201 Pueblo Boulevard Way,,Pueblo,CO,81005,,PUEBLO 
Vitamin Cottage Natural Food Market,-104.76349,39.509575,11402 S Parker Rd,,Parker,CO,80134,4809,DOUGLAS 
Whole Foods Market 10218,-105.08143,39.707817,444 S Wadsworth Blvd,,Lakewood,CO,80226,3109,JEFFERSON 
Walgreens 9244,-104.71593,40.412651,1641 23rd Ave,,Greeley,CO,80634,6012,WELD 
Walgreens 09565,-105.07674,40.551533,2614 S College Ave,,Fort Collins,CO,80525,2138,LARIMER 
7-Eleven Store 33043A,-104.70064,38.72031,7725 Fountain Mesa Rd,,Fountain,CO,80817,1542,EL PASO 
7-Eleven Store 23546B,-104.80113,38.796028,1402 Harrison Rd,,Colorado Springs,CO,80905,4002,EL PASO 
7-Eleven Store 24460B,-104.74187,38.75214,510 Security Blvd,,Colorado Springs,CO,80911,1730,EL PASO 
7-Eleven Store 33044A,-104.82208,39.674744,14250 E Iliff Ave,,Aurora,CO,80014,1460,ARAPAHOE 
7-Eleven Store 32747B,-104.71548,38.870857,6025 Constitution Ave,,Colorado Springs,CO,80915,1225,EL PASO 
7-Eleven Store 25581B,-105.18478,39.735413,16400 S Golden Rd,Ste C,Golden,CO,80401,7323,JEFFERSON 
Walmart SC 5370,-105.10252,40.204262,2514 Main St,,Longmont,CO,80504,9740,WELD 
Walgreens 07142,-104.71535,38.89407,6075 Barnes Rd,,Colorado Springs,CO,80922,2603,EL PASO 
Walgreens 03266,-105.05331,39.81216,6395 Sheridan Blvd,,Arvada,CO,80003,5231,JEFFERSON 
Walgreens 06514,-104.86411,39.414093,14 E Allen St,,Castle Rock,CO,80108,7840,DOUGLAS 
Walgreens 06987,-104.86217,39.366482,355 S Wilcox St,,Castle Rock,CO,80104,1914,DOUGLAS 
Walgreens 09034,-105.08155,39.817501,6603 Wadsworth Blvd,,Arvada,CO,80003,3945,JEFFERSON 
Walgreens 03583,-104.77604,38.925823,2785 Dublin Blvd,,Colorado Springs,CO,80918,1360,EL PASO 
Walgreens 05262,-104.76962,38.957512,8705 Lexington Dr,,Colorado Springs,CO,80920,4309,EL PASO 
Walgreens 05621,-104.73877,38.920261,6011 Rangewood Dr,,Colorado Springs,CO,80918,7301,EL PASO 
Kum & Go 920,-106.85722,40.501774,2032 Curve Plz,,Steamboat Springs,CO,80487,4912,ROUTT 
7-Eleven Store 13196B,-104.9727,39.653149,1277 E Hampden Ave,,Englewood,CO,80113,2916,ARAPAHOE 
7-Eleven Store 13209B,-104.97519,39.733498,1090 Ogden St,,Denver,CO,80218,2808,DENVER 
Walgreens 01306,-105.12929,39.62431,11605 W Belleview Ave,,Littleton,CO,80127,1538,JEFFERSON 
Target Stores T- 2029,-107.34481,39.556324,110 W Meadows Dr,,Glenwood Springs,CO,81601,8744,GARFIELD 
Brothers Custom Processing,-107.54417,40.50684,383 E 1st St,,Craig,CO,81625,,MOFFAT 
Vitamin Cottage Natural Food Market,-107.34461,39.556561,100 W Meadows Dr,Ste B,Glenwood Springs,CO,81601,8744,GARFIELD 
7-Eleven Store 23172B,-104.98754,39.721149,303 Broadway,,Denver,CO,80203,3920,DENVER 
Green Crest Center,-104.7608,38.886471,3725 Van Teylingen Dr,,Colorado Springs,CO,80917,4806,EL PASO 
Walgreens 09393,-105.22491,38.447201,1609 Fremont Dr,,Canon City,CO,81212,2403,FREMONT 
Walgreens 09561,-105.04433,38.981915,140 Paradise Cir,,Woodland Park,CO,80863,9002,TELLER 
Dollar General 10334,-102.61641,37.390553,27540 US Highway 287,,Springfield,CO,81073,,BACA 
Dollar General 10217,-103.63274,40.255138,1005 Edison St,,Brush,CO,80723,1906,MORGAN 
White River Market,-108.79707,40.08749,609 E Main St,,Rangely,CO,81648,3219,RIO BLANCO 
Papa Murphys Pizza CO033,-104.98873,39.613136,50 W Littleton Blvd,Ste 303,Littleton,CO,80120,2492,ARAPAHOE 
Colorado Farm and Art Market,-104.82367,38.830379,215 S Tejon St,,Colorado Springs,CO,80903,2283,EL PASO 
Walgreens 0403,-107.86623,38.46035,2351 S Townsend Ave,,Montrose,CO,81401,5438,MONTROSE 
7-Eleven Store 23829B,-104.91503,39.827179,6302 E 72nd Ave,,Commerce City,CO,80022,2000,ADAMS 
7-Eleven Store 25823B,-105.03439,39.827553,7201 Lowell Blvd,,Westminster,CO,80030,5301,ADAMS 
